NBAName,NBABirthDate,NBAID,NBALinks,BBRefName,BBRefID,BBRefBirthDate,BBRefLink,NUMBER,POSITION,HEIGHT,WEIGHT,LAST ATTENDED,COUNTRY
Andy Panko,11/29/1977,1950,https://www.nba.com/stats/player/1950/career/,Andy Panko,pankoan01,11/27/1977,https://www.basketball-reference.com/players/p/pankoan01.html,,F,6'9,245 lbs,Lebanon Valley,USA
Andy Phillip,3/7/1922,77853,https://www.nba.com/stats/player/77853/career/,Andy Phillip,phillan01,3/7/1922,https://www.basketball-reference.com/players/p/phillan01.html,17,G,6'3,195 lbs,Illinois,USA
Andy Rautins,11/2/1986,202360,https://www.nba.com/stats/player/202360/career/,Andy Rautins,rautian01,11/2/1986,https://www.basketball-reference.com/players/r/rautian01.html,11,G,6'4,190 lbs,Syracuse,USA
Andy Tonkovich,11/1/1922,78353,https://www.nba.com/stats/player/78353/career/,,,,,,G,6'1,185 lbs,Marshall,USA
Andy Toolson,1/19/1966,342,https://www.nba.com/stats/player/342/career/,Andy Toolson,toolsan01,1/19/1966,https://www.basketball-reference.com/players/t/toolsan01.html,5,F,6'6,210 lbs,Brigham Young,USA
Andy Walker,3/25/1955,78433,https://www.nba.com/stats/player/78433/career/,Andy Walker,walkean01,3/25/1955,https://www.basketball-reference.com/players/w/walkean01.html,41,G,6'4,190 lbs,Niagara,USA
Anfernee Hardaway,7/18/1971,358,https://www.nba.com/stats/player/358/career/,Anfernee Hardaway,hardaan01,7/18/1971,https://www.basketball-reference.com/players/h/hardaan01.html,1,G-F,6'7,215 lbs,Memphis,USA
Anfernee Simons,6/8/1999,1629014,https://www.nba.com/stats/player/1629014/career/,Anfernee Simons,simonan01,6/8/1999,https://www.basketball-reference.com/players/s/simonan01.html,1,G,6'3,181 lbs,Edgewater HS (FL),USA
Angel Delgado,11/20/1994,1629116,https://www.nba.com/stats/player/1629116/career/,√Ångel Delgado,delgaan01,11/20/1994,https://www.basketball-reference.com/players/d/delgaan01.html,31,C,6'10,245 lbs,Seton Hall,Dominican Republic
Angelo Musi,7/25/1918,77677,https://www.nba.com/stats/player/77677/career/,,,,,5,G,5'9,145 lbs,Temple,USA
Ansu Sesay,7/29/1976,1738,https://www.nba.com/stats/player/1738/career/,Ansu Sesay,sesayan01,7/29/1976,https://www.basketball-reference.com/players/s/sesayan01.html,5,F,6'9,225 lbs,Mississippi,USA
Antawn Jamison,6/12/1976,1712,https://www.nba.com/stats/player/1712/career/,Antawn Jamison,jamisan01,6/12/1976,https://www.basketball-reference.com/players/j/jamisan01.html,4,F,6'9,235 lbs,North Carolina,USA
Ante Zizic,1/4/1997,1627790,https://www.nba.com/stats/player/1627790/career/,Ante éiûic,zizican01,1/4/1997,https://www.basketball-reference.com/players/z/zizican01.html,41,C,6'10,266 lbs,,Croatia
Anthony Avent,10/18/1969,138,https://www.nba.com/stats/player/138/career/,Anthony Avent,aventan01,10/18/1969,https://www.basketball-reference.com/players/a/aventan01.html,30,C,6'9,240 lbs,Seton Hall,USA
Anthony Bennett,3/14/1993,203461,https://www.nba.com/stats/player/203461/career/,Anthony Bennett,bennean01,3/14/1993,https://www.basketball-reference.com/players/b/bennean01.html,24,F,6'8,245 lbs,UNLV,Canada
Anthony Bonner,6/8/1968,41,https://www.nba.com/stats/player/41/career/,Anthony Bonner,bonnean01,6/8/1968,https://www.basketball-reference.com/players/b/bonnean01.html,33,F,6'8,230 lbs,St. Louis,USA
Anthony Bowie,11/9/1963,194,https://www.nba.com/stats/player/194/career/,Anthony Bowie,bowiean01,11/9/1963,https://www.basketball-reference.com/players/b/bowiean01.html,13,G,6'6,200 lbs,Oklahoma,USA
Anthony Brown,10/10/1992,1626148,https://www.nba.com/stats/player/1626148/career/,Anthony Brown,brownan02,10/10/1992,https://www.basketball-reference.com/players/b/brownan02.html,3,F-G,6'7,224 lbs,Stanford,USA
Anthony Carter,6/16/1975,1853,https://www.nba.com/stats/player/1853/career/,Anthony Carter,cartean01,6/16/1975,https://www.basketball-reference.com/players/c/cartean01.html,25,G,6'2,195 lbs,Hawaii,USA
Anthony Cook,3/19/1967,76433,https://www.nba.com/stats/player/76433/career/,Anthony Cook,cookan01,3/19/1967,https://www.basketball-reference.com/players/c/cookan01.html,38,F,6'9,205 lbs,Arizona,USA
Anthony Davis,3/11/1993,203076,https://www.nba.com/stats/player/203076/career/,Anthony Davis,davisan02,3/11/1993,https://www.basketball-reference.com/players/d/davisan02.html,3,F-C,6'10,253 lbs,Kentucky,USA
Anthony Edwards,8/5/2001,1630162,https://www.nba.com/stats/player/1630162/career/,Anthony Edwards,edwaran01,8/5/2001,https://www.basketball-reference.com/players/e/edwaran01.html,1,G,6'4,225 lbs,Georgia,USA
