,Date,Team,Acquired,Relinquished,Notes
16137,2014-02-07,Rockets,Omer Asik,,activated from IL
16138,2014-02-07,Thunder,,Andre Roberson,placed on IL
16139,2014-02-07,Timberwolves,Corey Brewer,,activated from IL
16140,2014-02-08,Rockets,,Robert Covington,placed on IL
16141,2014-02-08,Spurs,William) Tony Parker,,activated from IL
16142,2014-02-08,Timberwolves,,Kevin Martin,placed on IL with fractured left thumb
16143,2014-02-08,Timberwolves,Robbie Hummel,,activated from IL (P)
16144,2014-02-09,76ers,,Brandon Davies,placed on IL with fractured right pinky finger
16145,2014-02-09,Clippers,,Byron Mullens,placed on IL
16146,2014-02-09,Clippers,Chris Paul,,activated from IL
16147,2014-02-09,Kings,Marcus Thornton,,activated from IL
16148,2014-02-09,Kings,Rudy Gay,,activated from IL
16149,2014-02-09,76ers,Arnett Moultrie,,activated from IL
16150,2014-02-10,Raptors,,Amir Johnson,placed on IL with ankle injury
16151,2014-02-10,Raptors,Dwight Buycks,,activated from IL
16152,2014-02-10,Rockets,,Greg Smith,placed on IL with sore right knee
16153,2014-02-10,Warriors,,Jermaine O'Neal,placed on IL with sore right wrist (P) / back injury (CBC)
16154,2014-02-10,Warriors,David Lee,,activated from IL
16155,2014-02-10,Rockets,Robert Covington,,activated from IL
16156,2014-02-11,Heat,,Dwyane Wade,placed on IL with migraine headache
16157,2014-02-11,Heat,James Jones,,activated from IL
16158,2014-02-12,Blazers,,Joel Freeland,placed on IL wiwth sprained MCL in right knee
16159,2014-02-12,Cavaliers,,Anderson Varejao,placed on IL with sore back
16160,2014-02-12,Clippers,,Willie Green,placed on IL with hip injury (P)
16161,2014-02-12,Clippers,Byron Mullens,,activated from IL
16162,2014-02-12,Heat,,James Jones,placed on IL
16163,2014-02-12,Heat,Dwyane Wade,,activated from IL
16164,2014-02-12,Cavaliers,Sergey Karasev,,activated from IL
16165,2014-02-13,Thunder,Andre Roberson,,activated from IL
16166,2014-02-18,Bucks,,Larry Sanders,placed on IL recovering from surgery to repair fractured orbital bone
16167,2014-02-18,Bucks,Caron Butler,,activated from IL
16168,2014-02-18,Clippers,Willie Green,,activated from IL
16169,2014-02-18,Grizzlies,Mike Conley Jr.,,activated from IL
16170,2014-02-18,Heat,Dwyane Wade,,activated from IL (CBC)
16171,2014-02-18,Pacers,,Solomon Hill,placed on IL
16172,2014-02-18,Pacers,Orlando Johnson,,activated from IL
16173,2014-02-18,Pistons,,Charlie Villanueva,placed on IL
16174,2014-02-18,Pistons,,Chauncey Billups,placed on IL with left knee injury (out for season)
16175,2014-02-18,Pistons,Peyton Siva,,activated from IL
16176,2014-02-18,Pistons,Tony Mitchell,,activated from IL
16177,2014-02-18,Raptors,,Austin Daye,placed on IL
16178,2014-02-18,Raptors,,Dwight Buycks,placed on IL
16179,2014-02-18,Raptors,Amir Johnson,,activated from IL
16180,2014-02-18,Spurs,,William) Tony Parker,placed on IL with sore back
16181,2014-02-18,Spurs,Emanuel Ginobili,,activated from IL
16182,2014-02-18,Cavaliers,,Sergey Karasev,placed on IL
16183,2014-02-18,Cavaliers,Anderson Varejao,,activated from IL
16184,2014-02-19,Blazers,,Meyers Leonard,placed on IL with sprained left ankle
16185,2014-02-19,Blazers,Victor Claver,,activated from IL
16186,2014-02-19,Celtics,,Avery Bradley,placed on IL with sore right ankle
16187,2014-02-19,Celtics,Vitor Faverani,,activated from IL
16188,2014-02-19,Jazz,,Derrick Favors,placed on IL with sprained right hip
16189,2014-02-19,Jazz,Malcolm Thomas,,activated from IL
16190,2014-02-19,Kings,,DeMarcus Cousins,placed on IL with strained left hip flexor
16191,2014-02-19,Pelicans,,Jason Smith,placed on IL with right knee injury
16192,2014-02-19,Rockets,,Robert Covington,placed on IL
16193,2014-02-19,Rockets,Greg Smith,,activated from IL
16194,2014-02-19,Warriors,Jermaine O'Neal,,activated from IL
16195,2014-02-20,Thunder,Russell Westbrook,,activated from IL
16196,2014-02-21,Kings,DeMarcus Cousins,,activated from IL
16197,2014-02-21,Knicks,,Iman Shumpert,placed on IL with sprained MCL in knee
16198,2014-02-21,Pistons,,Tony Mitchell,placed on IL
16199,2014-02-21,Pistons,Josh Harrellson,,activated from IL
16200,2014-02-21,Suns,Archie Goodwin,,activated from IL
16201,2014-02-22,Kings,,Jason Terry,placed on IL recovering from surgery on left knee (out for season)
16202,2014-02-22,Wizards,Al Harrington,,activated from IL
16203,2014-02-23,Cavaliers,,Anderson Varejao,placed on IL with sore back
16204,2014-02-23,Cavaliers,Sergey Karasev,,activated from IL
16205,2014-02-23,Heat,,LeBron James,placed on IL with fractured nose
16206,2014-02-23,Heat,James Jones,,activated from IL
16207,2014-02-23,Raptors,,Julyan Stone,placed on IL
16208,2014-02-23,Thunder,,Kendrick Perkins,placed on IL with left groin injury
16209,2014-02-24,Jazz,,Malcolm Thomas,placed on IL
16210,2014-02-24,Jazz,Derrick Favors,,activated from IL
16211,2014-02-24,Warriors,,David Lee,placed on IL with illness
16212,2014-02-24,Warriors,,Ognjen Kuzmic,placed on IL
16213,2014-02-24,Warriors,Andrew Bogut,,activated from IL
16214,2014-02-25,Magic,,Arron Afflalo,placed on IL with sprained right ankle
16215,2014-02-25,Wizards,,Nene,placed on IL with left knee injury
16216,2014-02-25,Wizards,Glen Rice Jr.,,activated from IL
16217,2014-02-26,Pistons,Tony Mitchell,,activated from IL
16218,2014-02-26,Spurs,Kawhi Leonard,,activated from IL
16219,2014-02-26,Warriors,David Lee,,activated from IL
16220,2014-02-27,Heat,LeBron James,,activated from IL
16221,2014-02-27,Wizards,,Glen Rice Jr.,placed on IL
16222,2014-02-28,Grizzlies,,Jamaal Franklin,placed on IL
16223,2014-02-28,Kings,,Carl Landry,placed on IL with torn medial meniscus in right knee (out for season)
16224,2014-03-01,Blazers,,Thomas Robinson,placed on IL with strained patella in left knee
16225,2014-03-01,Blazers,Meyers Leonard,,activated from IL
16226,2014-03-01,Clippers,,Danny Granger,placed on IL
16227,2014-03-01,Heat,,DeAndre Liggins,placed on IL
16228,2014-03-01,Heat,,James Jones,placed on IL
16229,2014-03-01,Pistons,,Josh Harrellson,placed on IL with knee injury
16230,2014-03-01,Pistons,Charlie Villanueva,,activated from IL
16231,2014-03-01,Timberwolves,,Robbie Hummel,placed on IL
16232,2014-03-01,Timberwolves,Kevin Martin,,activated from IL
16233,2014-03-01,Timberwolves,Nikola Pekovic,,activated from IL
16234,2014-03-02,Hawks,Pero Antic,,activated from IL
16235,2014-03-02,Knicks,Iman Shumpert,,activated from IL
16236,2014-03-02,Raptors,,Terrence Ross,placed on IL with sprained left ankle
16237,2014-03-02,Raptors,Julyan Stone,,activated from IL
16238,2014-03-02,Spurs,,Austin Daye,placed on IL
16239,2014-03-02,Spurs,William) Tony Parker,,activated from IL
16240,2014-03-02,Thunder,,Thabo Sefolosha,placed on IL with strained left calf (CBC)
16241,2014-03-03,Heat,,Dwyane Wade,placed on IL with sore knees
16242,2014-03-03,Heat,DeAndre Liggins,,activated from IL
16243,2014-03-03,Lakers,,Steve Nash,placed on IL with nerve root irritation
16244,2014-03-03,Lakers,Xavier Henry,,activated from IL
16245,2014-03-03,Timberwolves,,Ronny Turiaf,placed on IL with bone bruise in right knee
16246,2014-03-04,Clippers,Danny Granger,,activated from IL
16247,2014-03-04,Heat,,Greg Oden,placed on IL
16248,2014-03-04,Heat,Dwyane Wade,,activated from IL
16249,2014-03-04,Rockets,Troy Daniels,,activated from IL
16250,2014-03-04,Mavericks,Gal Mekel,,activated from IL
16251,2014-03-05,Jazz,,Andris Biedrins,placed on IL
16252,2014-03-05,Jazz,Malcolm Thomas,,activated from IL
16253,2014-03-05,Magic,,Jameer Nelson,placed on IL with illness
16254,2014-03-05,Magic,Arron Afflalo,,activated from IL
16255,2014-03-05,Rockets,,Greg Smith,placed on IL recovering from surgery on right knee
16256,2014-03-05,Rockets,Isaiah Canaan,,activated from IL
16257,2014-03-05,Wizards,,Kevin Seraphin,placed on IL with sore right knee
16258,2014-03-06,Heat,,DeAndre Liggins,placed on IL
16259,2014-03-06,Heat,Greg Oden,,activated from IL
16260,2014-03-06,Spurs,,Jeff Ayres,placed on IL with finger injury
16261,2014-03-06,Spurs,Austin Daye,,activated from IL
16262,2014-03-06,Suns,,Leandro Barbosa,placed on IL with sprained left big toe / fractured left hand (CBC) (out for season)
16263,2014-03-07,Blazers,,Allen Crabbe,placed on IL
16264,2014-03-07,Blazers,Thomas Robinson,,activated from IL
16265,2014-03-07,Hawks,,Gustavo Ayon,placed on IL recovering from surgery on right shoulder (out for season)
16266,2014-03-07,Hawks,Pero Antic,,activated from IL (P)
16267,2014-03-07,Pacers,,C.J. Watson,placed on IL with right elbow injury
16268,2014-03-07,Pacers,Solomon Hill,,activated from IL
16269,2014-03-07,Raptors,,Julyan Stone,placed on IL
16270,2014-03-07,Raptors,Terrence Ross,,activated from IL
16271,2014-03-07,Warriors,,Nemanja Nedovic,placed on IL
16272,2014-03-08,Cavaliers,,Sergey Karasev,placed on IL
16273,2014-03-08,Cavaliers,Anderson Varejao,,activated from IL
16274,2014-03-08,Jazz,,Malcolm Thomas,placed on IL
16275,2014-03-08,Jazz,Ian Clark,,activated from IL
16276,2014-03-08,Magic,,Victor Oladipo,placed on IL with sore left ankle
16277,2014-03-08,Magic,Jameer Nelson,,activated from IL
16278,2014-03-08,Spurs,,Austin Daye,placed on IL
16279,2014-03-08,Spurs,Jeff Ayres,,activated from IL
16280,2014-03-09,Celtics,,Gerald Wallace,"placed on IL recovering from arthroscopic surgery on left knee to repair torn meniscus, and ankle (out for season)"
16281,2014-03-09,Raptors,,Patrick Patterson,placed on IL with sprained right elbow
16282,2014-03-09,Timberwolves,,A.J. Price,placed on IL with appendectomy
16283,2014-03-09,Timberwolves,Robbie Hummel,,activated from IL
16284,2014-03-09,Celtics,Avery Bradley,,activated from IL
16285,2014-03-09,Raptors,Dwight Buycks,,activated from IL
16286,2014-03-10,Heat,,Greg Oden,placed on IL
16287,2014-03-10,Heat,DeAndre Liggins,,activated from IL
16288,2014-03-10,Magic,,Adonis Thomas,placed on IL
16289,2014-03-10,Magic,Victor Oladipo,,activated from IL
16290,2014-03-10,Nets,,Andrei Kirilenko,placed on IL with sprained right ankle
16291,2014-03-11,Mavericks,,Jae Crowder,placed on IL with strained abdominal muscle
16292,2014-03-11,Mavericks,Gal Mekel,,activated from IL
16293,2014-03-11,Pacers,,Ian Mahinmi,placed on IL with bruised left hip
16294,2014-03-11,Pacers,Andrew Bynum,,activated from IL
16295,2014-03-11,Warriors,Nemanja Nedovic,,activated from IL
16296,2014-03-12,Jazz,,John Lucas III,placed on IL with ankle injury
16297,2014-03-12,Jazz,Malcolm Thomas,,activated from IL
16298,2014-03-12,Magic,,Adonis Thomas,placed on IL (P)
16299,2014-03-12,Magic,Dewayne Dedmon,,activated from IL
16300,2014-03-12,Suns,Eric Bledsoe,,activated from IL
16301,2014-03-14,Jazz,,Marvin Williams,placed on IL with strained back
16302,2014-03-14,Jazz,Andris Biedrins,,activated from IL
16303,2014-03-14,Pacers,,Andrew Bynum,placed on IL with knee injury
16304,2014-03-14,Pacers,C.J. Watson,,activated from IL
16305,2014-03-14,Pacers,Ian Mahinmi,,activated from IL
16306,2014-03-14,Raptors,,Dwight Buycks,placed on IL
16307,2014-03-14,Raptors,Julyan Stone,,activated from IL
16308,2014-03-14,Wizards,Kevin Seraphin,,activated from IL
16309,2014-03-14,Heat,,Justin Hamilton,placed on IL
16310,2014-03-15,76ers,,Arnett Moultrie,placed on IL
16311,2014-03-15,76ers,Brandon Davies,,activated from IL
16312,2014-03-15,Nets,,Kevin Garnett,placed on IL with back spasms
16313,2014-03-15,Nets,Andrei Kirilenko,,activated from IL
16314,2014-03-15,Pacers,,C.J. Watson,placed on IL with strained right hamstring / elbow injury (CBC)
16315,2014-03-15,Pacers,Andrew Bynum,,activated from IL
16316,2014-03-16,Blazers,,LaMarcus Aldridge,placed on IL with bruised lower back
16317,2014-03-16,Blazers,Allen Crabbe,,activated from IL
16318,2014-03-16,Jazz,,Andris Biedrins,placed on IL with left shoulder injury
16319,2014-03-16,Jazz,,Malcolm Thomas,placed on IL
16320,2014-03-16,Jazz,John Lucas III,,activated from IL
16321,2014-03-16,Jazz,Marvin Williams,,activated from IL
16322,2014-03-16,Mavericks,,Gal Mekel,placed on IL
16323,2014-03-16,Mavericks,Jae Crowder,,activated from IL
16324,2014-03-17,Pacers,,Andrew Bynum,placed on IL with knee injury (out for season)
16325,2014-03-18,Cavaliers,,Kyrie Irving,placed on IL with strained left bicep
16326,2014-03-18,Heat,,Dwyane Wade,placed on IL for rest
16327,2014-03-18,Heat,James Jones,,activated from IL
16328,2014-03-18,Warriors,,Andre Iguodala,placed on IL with right knee injury
16329,2014-03-18,Warriors,,Andrew Bogut,placed on IL with ankle inflammation (CBC) / knee injury (P)
16330,2014-03-18,Warriors,Ognjen Kuzmic,,activated from IL
16331,2014-03-18,Cavaliers,Sergey Karasev,,activated from IL
16332,2014-03-19,Heat,,Greg Oden,placed on IL (P)
16333,2014-03-19,Heat,,LeBron James,placed on IL with back spasms
16334,2014-03-19,Heat,Dwyane Wade,,activated from IL
16335,2014-03-19,Heat,Justin Hamilton,,activated from IL
16336,2014-03-19,Raptors,,Jonas Valanciunas,placed on IL with back injury
16337,2014-03-19,Raptors,Dwight Buycks,,activated from IL
16338,2014-03-20,Warriors,,Nemanja Nedovic,placed on IL
16339,2014-03-20,Warriors,Andrew Bogut,,activated from IL
16340,2014-03-21,Heat,,Justin Hamilton,placed on IL
16341,2014-03-21,Heat,LeBron James,,activated from IL
16342,2014-03-21,Lakers,,Jordan Farmar,placed on IL with strained right groin
16343,2014-03-21,Lakers,Steve Nash,,activated from IL
16344,2014-03-21,Raptors,,Julyan Stone,placed on IL
16345,2014-03-21,Raptors,Jonas Valanciunas,,activated from IL
16346,2014-03-22,Heat,,Dwyane Wade,placed on IL
16347,2014-03-22,Jazz,,Alec Burks,placed on IL with right ankle injury
16348,2014-03-22,Jazz,Malcolm Thomas,,activated from IL
16349,2014-03-22,Spurs,,Tim Duncan,placed on IL for rest
16350,2014-03-22,Spurs,Austin Daye,,activated from IL
16351,2014-03-24,Heat,Greg Oden,,activated from IL
16352,2014-03-24,Spurs,,Matt Bonner,placed on IL with strained right calf
16353,2014-03-24,Spurs,Tim Duncan,,activated from IL
16354,2014-03-27,Blazers,Allen Crabbe,,activated from IL
16355,2014-03-27,Blazers,LaMarcus Aldridge,,activated from IL
16356,2014-03-28,Heat,,Greg Oden,placed on IL with back spasms (out for season)
16357,2014-03-28,Heat,,Ray Allen,placed on IL with stomach virus
16358,2014-03-28,Heat,Justin Hamilton,,activated from IL
16359,2014-03-28,Warriors,,Ognjen Kuzmic,placed on IL
16360,2014-03-28,Warriors,Andre Iguodala,,activated from IL
16361,2014-03-28,Heat,Dwyane Wade,,activated from IL
16362,2014-03-30,Jazz,,Malcolm Thomas,placed on IL
16363,2014-03-30,Jazz,Alec Burks,,activated from IL
16364,2014-03-31,Raptors,,Dwight Buycks,placed on IL
16365,2014-03-31,Raptors,Patrick Patterson,,activated from IL
16366,2014-04-02,Cavaliers,Kyrie Irving,,activated from IL
16367,2014-04-02,Heat,,Dwyane Wade,placed on IL with strained left hamstring
16368,2014-04-02,Raptors,,Kyle Lowry,placed on IL with sore left knee
16369,2014-04-02,Raptors,Julyan Stone,,activated from IL
16370,2014-04-02,Timberwolves,,Nikola Pekovic,placed on IL with sore right ankle
16371,2014-04-02,Timberwolves,Ronny Turiaf,,activated from IL
16372,2014-04-02,Heat,Ray Allen,,activated from IL
16373,2014-04-03,Clippers,,Danny Granger,placed on IL with strained left hamstring
16374,2014-04-03,Clippers,J.J. Redick,,activated from IL
16375,2014-04-03,Spurs,,Aron Baynes,placed on IL with rib injury
16376,2014-04-03,Thunder,,Reggie Williams,placed on IL
16377,2014-04-03,Thunder,Kendrick Perkins,,activated from IL
16378,2014-04-03,Timberwolves,A.J. Price,,activated from IL
16379,2014-04-04,Cavaliers,,C.J. Miles,placed on IL with sprained left ankle (out for season)
16380,2014-04-04,Cavaliers,,Will Bynum,placed on IL with foot injury (out for season)
16381,2014-04-04,Jazz,,Brandon Rush,placed on IL with illness
16382,2014-04-04,Jazz,Malcolm Thomas,,activated from IL
16383,2014-04-04,Pistons,Josh Harrellson,,activated from IL
16384,2014-04-04,Raptors,,Amir Johnson,placed on IL with right ankle injury
16385,2014-04-04,Raptors,Dwight Buycks,,activated from IL
16386,2014-04-04,Thunder,,Thabo Sefolosha,placed on IL with strained left calf (P)
16387,2014-04-04,Thunder,Reggie Williams,,activated from IL
16388,2014-04-04,Timberwolves,,Dante Cunningham,placed on IL with legal issues
16389,2014-04-05,Nets,,Marquis Teague,placed on IL
16390,2014-04-05,Nets,Kevin Garnett,,activated from IL
16391,2014-04-05,Timberwolves,Dante Cunningham,,activated from IL
16392,2014-04-05,Jazz,Andris Biedrins,,activated from IL
16393,2014-04-06,Grizzlies,,Tayshaun Prince,placed on IL with sprained left ankle
